# V_bias   ch   errch  fwhm   errfwhm   fwhm_ch*10**-3  errfwhm_ch*10**-3 chi2
#fit python
10.30 5287.639793770394 0.16693565983701547 16.328613015520357 0.3202250227703209 0.00308807211768809 6.056112938891029e-05 2.3
14.43 5289.596137955859 0.15003685451806462 15.155300968171199 0.28736064401741046 0.0028651149488376436 5.43256910458918e-05 3.1
18.26 5289.9645618167315 0.14094520728865176 14.485278521907619 0.28889459482666213 0.002738256249666244 5.461186918145248e-05 2.7
22.88 5290.969570388252 0.14750086239176097 14.711790367802514 0.2930254283682287 0.0027805471515352075 5.538223410497291e-05 3.3
28.54 5291.322276088895 0.14871032249134944 14.909473247027606 0.301585943863697 0.0028177216334757085 5.6996383743837116e-05 3.0
33.07 5291.658082229917 0.14135833281067217 14.792446036111592 0.27371605912952085 0.0027954274078641943 5.172600725802843e-05 3.4
38.06 5292.17911287497 0.16642525115356516 20.001747793453788 0.31046662925273133 0.003779491843878251 5.866529832184556e-05 4.0
43.72 5290.631218135297 0.11675085808187649 26.02804300056459 0.0018964742594485492 0.004919647945096856 3.745384137040133e-07 5.6
49.21 5291.04122032657 0.14799921698193405 16.442616830215695 0.34769361707328034 0.0031076334780852145 6.571370488140522e-05 4.3
54.71 5291.977904768974 0.15473504778048813 17.149538797070758 0.34318745109510695 0.0032406671202493305 6.485057640283408e-05 2.3
59.77 5291.906509738877 0.16157467102214948 16.907615405605636 0.3738531452695823 0.0031949951070545128 7.064627861364407e-05 3.5
64.30 5291.607589774794 0.18493370421665045 26.970316706463272 0.33509176225345516 0.00509680966490773 6.332538500544078e-05 5.9
70.00 5294.977689353147 0.1194967453893838 15.390684072162616 0.23324216097327513 0.0029066570201248185 4.404974549042269e-05 8.8

#fit easy_fit.c
10.30 5287.05 0.17 18.31 0.33 3.46 0.06 2.91
14.43 5288.83 0.17 17.73 0.33 3.35 0.06 3.2
18.26 5289.54 0.18 17.00 0.37 3.21 0.07 4.2
22.88 5290.08 0.15 17.36 0.29 3.28 0.05 3.7
28.54 5290.55 0.18 17.82 0.35 3.37 0.07 2.8
33.07 5290.94 0.15 17.31 0.30 3.27 0.06 3.3
38.06 5291.59 0.16 17.53 0.33 3.31 0.06 2.9
43.72 5291.04 0.16 21.01 0.35 3.97 0.07 3.5
49.21 5290.21 0.16 21.77 0.40 4.11 0.07 3.0
54.71 5291.88 0.19 17.46 0.38 3.30 0.07 3.2
59.77 5290.73 0.16 21.50 0.38 4.06 0.07 5.4
64.30 5292.65 0.17 17.64 0.39 3.33 0.07 2.8
70.00 5294.49 0.11 17.19 0.22 3.25 0.04 3.5
