# V_bias   ch   errch  fwhm   errfwhm   fwhm_ch*10**-3  errfwhm_ch*10**-3 chi2

10.59 5294.926061144642 0.07869987446371209 30.229152325095004 0.24102926867153737 0.005709079215840864 4.55208787927382e-05 7.5
14.69 5298.110643995036 0.070438452868815 26.66156750437455 0.20193698194343032 0.0050322783527733984 3.811496335476902e-05 8.6
19.59 5291.8262043141785 0.11856848652376906 45.281727993765195 0.2452468125614034 0.008556918962465002 4.634485369200559e-05 6.7
23.45 5299.068665305033 0.08419859668259135 29.881985850542677 0.2878051364316771 0.005639101460638001 5.4312473806643873e-05 7.8
28.03 5299.816913522067 0.09126884288210331 32.14478888755772 0.3407291827350658 0.006065264029318224 6.429083079211527e-05 8.0
33.58 5300.999409846206 0.1029398426324931 39.2870110929797 0.42632401033870265 0.007411246079372702 8.042345603120501e-05 5.9
38.96 5301.615361105337 0.1175307389232806 44.68135247338381 0.45219111384882926 0.00842787517200572 8.529328665720844e-05 3.7
43.38 5301.61304806758 0.13250457570047114 49.90227934268446 0.48004522834790103 0.009412659673620214 9.054731912985369e-05 3.2
47.55 5302.060782331569 0.14061531693914223 54.16705459466732 0.45555175851104535 0.010216226636852602 8.592018127697888e-05 2.0
52.37 5301.877451998945 0.15663314010620383 59.4495691170436 0.4780103840307254 0.011212927808172854 9.015930958323082e-05 1.3
56.82 5302.402706210496 0.18470449511176848 63.30620353840756 0.5475799783813192 0.01193915419971016 0.00010327099790940358 1.3
61.15 5302.22628450261 0.21271210721503162 68.35900291295361 0.598007406067939 0.012892509531845871 0.0001127853965665666 1.0
 
